Join kim
Failed
Testing TinyGPS library v. 13
by Mikal Hart

Sats HDOP Latitude  Longitude  Fix  Date       Time     Date Alt    Course Speed Card  Distance Course Card  Chars Sentences Checksum
          (deg)     (deg)      Age                      Age  (m)    --- from GPS ----  ---- to London  ----  RX    RX        Fail
-------------------------------------------------------------------------------------------------------------------------------------
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   59    0         0        
6    162  45.760025 4.851223   57   05/26/2015 19:48:10 131  312.80 0.00   0.54  N     736      332.06 NNW   781   4         0        
6    162  45.760025 4.851220   186  05/26/2015 19:48:11 249  312.70 0.00   0.48  N     736      332.06 NNW   1452  6         0        
6    162  45.760025 4.851214   367  05/26/2015 19:48:12 385  312.60 0.00   0.33  N     736      332.06 NNW   1936  8         0        
6    162  45.760025 4.851213   438  05/26/2015 19:48:13 455  312.50 0.00   0.35  N     736      332.06 NNW   2422  10        0        
6    162  45.760028 4.851209   507  05/26/2015 19:48:14 525  312.30 0.00   0.39  N     736      332.06 NNW   2908  12        0        
5    193  45.760028 4.851206   580  05/26/2015 19:48:15 598  312.20 0.00   0.26  N     736      332.06 NNW   3392  14        0        
5    193  45.760028 4.851205   659  05/26/2015 19:48:16 677  312.00 0.00   0.20  N     736      332.06 NNW   3876  16        0        
5    193  45.760028 4.851204   733  05/26/2015 19:48:17 750  311.70 0.00   0.19  N     736      332.06 NNW   4360  18        0        
5    193  45.760028 4.851202   805  05/26/2015 19:48:18 823  311.50 0.00   0.20  N     736      332.06 NNW   4844  20        0        
5    193  45.760028 4.851200   887  05/26/2015 19:48:20 73   311.30 0.00   0.17  N     736      332.06 NNW   5577  24        0        
5    193  45.760025 4.851198   139  05/26/2015 19:48:21 202  310.80 0.00   0.22  N     736      332.06 NNW   6271  26        0        
5    193  45.760025 4.851199   354  05/26/2015 19:48:22 378  310.50 0.00   0.39  N     736      332.06 NNW   6776  28        0        
5    193  45.760025 4.851197   419  05/26/2015 19:48:23 437  310.20 0.00   0.30  N     736      332.06 NNW   7258  30        0        
5    193  45.760021 4.851198   491  05/26/2015 19:48:24 510  310.00 0.00   0.52  N     736      332.06 NNW   7740  32        0        
5    193  45.760017 4.851198   565  05/26/2015 19:48:25 584  309.80 0.00   0.41  N     736      332.06 NNW   8222  34        0        
5    193  45.760017 4.851197   641  05/26/2015 19:48:26 659  309.50 0.00   0.22  N     736      332.06 NNW   8704  36        0        
5    193  45.760017 4.851197   715  05/26/2015 19:48:27 733  309.40 0.00   0.31  N     736      332.06 NNW   9186  38        0        
5    193  45.760013 4.851196   788  05/26/2015 19:48:28 805  309.30 0.00   0.43  N     736      332.06 NNW   9670  40        0        
5    193  45.760013 4.851195   854  05/26/2015 19:48:29 872  309.10 0.00   0.24  N     736      332.06 NNW   10307 43        0        
5    193  45.760013 4.851192   148  05/26/2015 19:48:31 107  308.20 0.00   0.09  N     736      332.06 NNW   11005 46        0        
6    193  45.760013 4.851192   260  05/26/2015 19:48:32 323  308.00 0.00   0.30  N     736      332.06 NNW   11612 48        0        
6    193  45.760009 4.851192   368  05/26/2015 19:48:33 387  307.70 0.00   0.61  N     736      332.06 NNW   12100 50        0        
6    162  45.760009 4.851191   442  05/26/2015 19:48:34 461  307.40 0.00   0.41  N     736      332.06 NNW   12588 52        0        
6    162  45.760013 4.851188   513  05/26/2015 19:48:35 531  307.00 0.00   0.31  N     736      332.06 NNW   13076 54        0        
6    162  45.760017 4.851185   589  05/26/2015 19:48:36 606  306.60 0.00   0.15  N     736      332.06 NNW   13564 56        0        
6    162  45.760017 4.851181   660  05/26/2015 19:48:37 677  306.20 0.00   0.06  N     736      332.06 NNW   14052 58        0        
6    162  45.760025 4.851179   735  05/26/2015 19:48:38 752  305.90 0.00   0.17  N     736      332.06 NNW   14538 60        0        
6    162  45.760025 4.851177   807  05/26/2015 19:48:39 826  305.60 0.00   0.17  N     736      332.06 NNW   15024 62        0        
