Join kim
Failed
Testing TinyGPS library v. 13
by Mikal Hart

Sats HDOP Latitude  Longitude  Fix  Date       Time     Date Alt    Course Speed Card  Distance Course Card  Chars Sentences Checksum
          (deg)     (deg)      Age                      Age  (m)    --- from GPS ----  ---- to London  ----  RX    RX        Fail
-------------------------------------------------------------------------------------------------------------------------------------
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   168   0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   546   0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   850   0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   1149  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   1448  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   1745  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   2042  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   2339  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   2636  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   2933  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   3230  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   3561  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   3931  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   4298  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   4666  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   5012  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   5309  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   5606  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   5903  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   6200  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   6497  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   6794  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   7091  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   7388  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   7685  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   8048  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   8413  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   8780  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   9142  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   9491  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   9801  0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   10111 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   10421 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   10731 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   11041 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   11351 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   11661 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   11971 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   12295 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   12681 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   13063 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   13443 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   13823 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   14141 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   14451 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   14761 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   15071 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   15381 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   15691 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   16001 0         1        
**** **** ********* ********** **** ********** ******** **** ****** ****** ***** ***   *******  ****** ***   16311 0         1        
